id,name,"description"
THMSP21,War,"violent conflict between groups or nations, often for power or resources"
THMSP22,Imperialism,"extending power over other regions through force or influence"
THMPF11,Power,"the ability to control, influence, or command others"
THMPF12,Deceit,"intentionally misleading someone for personal gain"
THMPF13,Conspiracy,"a secret plan by a group to achieve a deceptive or illegal goal"
THMPF14,Corruption,"using power for personal benefit, betraying trust"
THMPF15,Oppression,"prolonged and unjust control over others"
THMPF16,Fame,"widespread recognition, often admired or envied"
THMPF17,Beauty,"qualities that please the senses or inspire admiration"
THMPF18,Money,"a medium of exchange, often a source of power and stress"
THMPF19,Luxury,"indulgence in costly, comfortable, or pleasurable things"
THMPF20,Flexing,"showing off material possessions or accomplishments"
THMPS11,Passion,"intense enthusiasm or love for something"
THMPS12,Ambition,"striving to achieve goals or success with determination"
THMPS13,Motivation,"the internal drive to pursue goals or take action"
THMPS14,PersonalDev,"improving oneself mentally, emotionally, or physically"
THMPS15,Resilience,"the ability to recover quickly from setbacks or difficulties"
THMPS16,Endurance,"the ability to keep doing something difficult or unpleasant for a long time"
THMPS17,Fulfilment,"feeling satisfied and complete after achieving something meaningful"
THMPS18,Career,"a professional journey often tied to one's purpose and livelihood"
THMPS19,Knowledge,"information and understanding gained through learning"
THMPS20,Wisdom,"applying knowledge and experience with insight and good judgment"
THMPS21,Education,"the process of gaining knowledge, skills, and understanding"
THMPS22,SchoolLife,"the experiences, lessons, and social aspects of attending school"
THMPS23,Mischief,"playful or harmless troublemaking, often for fun"
THMPS24,PeerPressure,"the influence of peers to conform to their expectations or behaviours"
THMPS25,Nonconformity,"refusing to follow societal norms or expectations"
THMCS11,Competition,"striving to outperform others in pursuit of a goal"
THMCS12,Conflict,"a serious disagreement or clash of interests"
THMCS13,Argument,"a verbal exchange of opposing views"
THMCS14,Confrontation,"direct opposition or challenge, often aggressive"
THMCS15,Triumph,"achieving victory or success after effort or struggle"
THMCS16,Surrender,"giving up or yielding to a stronger force or opponent"
THMCS17,Failure,"not achieving a desired goal, often accompanied by disappointment"
THMCS18,Consolation,"something that makes someone who is sad or disappointed feel better"
THMCS19,Sports,"physical contests for recreation, competition, or teamwork"
THMSI11,Deprivation,"lacking essential needs or comforts"
THMSI12,Poverty,"living with insufficient resources to meet basic needs"
THMSI13,Tragedy,"a deeply distressing event, often causing loss or suffering"
THMSI14,Crime,"actions that break the law and harm society or individuals"
THMSI15,Violence,"using physical force to harm or intimidate others"
THMSI16,Discrimination,"unfair treatment based on identity or characteristics"
THMSI17,Inequality,"an imbalance in rights, opportunities, or resources"
THMSI18,Intoxication,"impaired judgment or behaviour due to substances"
THMSI19,Addiction,"dependence on a substance or behaviour, despite negative consequences"
THMSI20,Alcohol,"a substance consumed for relaxation or escape, often overused"
THMSI21,Drugs,"substances that alter mental or physical states, with varying effects"
THMDS11,Abstinence,"deliberately avoiding certain pleasures or indulgences"
THMDS12,Overcoming,"successfully defeating challenges or obstacles"
THMDS13,Sacrifice,"giving up something valuable for a greater purpose"
THMDS14,Religion,"belief systems centred around spirituality and moral values"
THMDS15,Prayer,"communicating with a higher power, often for guidance or gratitude"
THMDS16,Monasticism,"teaching wisdom (and a way of life focused on simplicity, spirituality, and discipline)"
THMDS17,Mysticism,"seeking a deep spiritual connection beyond rational understanding"
THMDS18,Traditionalism,"valuing long-standing customs and practices over change"
THMDS19,Nationalism,"devotion to one's country, often placing it above others"
THMDS20,Leadership,"guiding and inspiring others towards a shared goal"
THMPE11,Escapism,"avoiding reality by indulging in fantasies or distractions"
THMPE12,Inspiration,"being mentally stimulated to create or act"
THMPE13,Hedonism,"prioritizing pleasure and avoiding pain as life's primary goal"
THMPE14,Decadence,"excessive indulgence in luxury, often leading to moral decline"
THMPE15,Misanthropy,"disliking or mistrusting humanity"
THMPE16,Nihilism,"believing life lacks purpose, meaning, or value"
THMPE17,Stoicism,"enduring hardship calmly, focusing on reason and self-control"
THMPE18,WorldView,"the lens through which one interprets and understands life"
THMPE19,Disillusionment,"frustratingly realizing something isn't what you once believed"
THMPE20,Redemption,"seeking or achieving forgiveness, often after wrongdoing"
THMUE11,Cosmopolitan,"embracing a diverse and global perspective"
THMUE12,CityLife,"the fast-paced lifestyle of urban environments"
THMUE13,ConcreteJungle,"a metaphor for the bustling, chaotic structure of cities"
THMUE14,Consumerism,"valuing the acquisition of goods, often excessively"
THMUE15,Environmentalism,"advocating for the preservation of nature and sustainability"
THMSC11,Science,"the pursuit of knowledge about the natural world through evidence"
THMSC12,Humankind,"the collective human species, often reflecting shared struggles"
THMSC13,Progressivism,"advocating for change and advancement in society"
THMSC14,Sexuality,"exploring and expressing one's sexual identity and preferences"
THMSC15,Gender,"societal roles and identities related to being male, female, or beyond"
THMSC16,LGBTQ,"a spectrum of identities encompassing sexual and gender diversity"
THMSC17,Feminism,"advocating for equality between genders, especially for women"
THMSC18,Futurism,"imagining or promoting progress in technology and society"
THMSC19,Cosmos,"the universe as a vast, ordered system"
THMSC20,Fantasy,"imagining worlds or scenarios beyond reality"
THMSC21,SciFi,"exploring futuristic or speculative ideas, often grounded in science"
THMSC22,Apocalypse,"the end of the world, often marked by catastrophe"
THMRL11,Animals,"non-human creatures, often evoking companionship or curiosity"
THMRL12,Youth,"the early stages of life, full of energy and potential"
THMRL13,Childhood,"a time of innocence, wonder, and growth"
THMRL14,Innocence,"purity of mind or actions, untouched by experience or harm"
THMRL15,Carefree,"living without concern or burden, often associated with youth"
THMRL16,Teenage,"a phase of self-discovery and grappling with identity"
THMRL17,Friendship,"a bond of trust and affection with someone outside the family"
THMRL18,Family,"a group of people connected by blood, love, or shared experiences"
THMRL19,Siblinghood,"the unique relationship between brothers and sisters"
THMRL20,Adulthood,"the phase of maturity, responsibility, independence, and self-sufficiency"
THMRL21,Parenthood,"raising and nurturing children, often with sacrifices"
THMRL22,Lifecycle,"the stages of existence from birth to death"
THMRL23,Legacy,"what one leaves behind for others after they're gone"
THMHM11,Health,"the state of physical, mental, and emotional well-being"
THMHM12,Healing,"the process of recovering from physical or emotional pain"
THMHM13,Death,"the end of life, often evoking fear, grief, or reflection"
THMHM14,MentalIllness,"struggles related to mental health, such as anxiety or depression"
THMHM15,Psychosis,"losing touch with reality, often due to mental illness"
THMHM16,Madness,"extreme irrationality or instability in thoughts or behaviour"
THMHM17,Suicide,"the act of ending one's life, often tied to deep despair"
THMCM11,Chance,"the randomness of events or opportunities"
THMCM12,Destiny,"a predetermined course of events, often seen as inevitable"
THMCM13,Miracle,"an extraordinary event defying natural explanation"
THMCM14,Decision,"the act of making a choice, often shaping outcomes"
THMCM15,Promises,"commitments to do or not do something, based on trust"
THMCM16,Lies,"deliberate falsehoods meant to deceive others"
THMCM17,Betrayal,"breaking trust or loyalty, causing emotional harm"
THMCM18,Adultery,"betraying a partner through infidelity"
THMCM19,Morality,"dilemma what can be considered good and evil"
THMCM20,Hypocrisy,"acting against the values or beliefs one outwardly claims"
THMCM21,Virtues,"qualities considered morally good, such as kindness or honesty"
THMCM22,Sins,"actions considered immoral or offensive, often in a religious context"
SITST11,WarmUp,"especially suited to be played BEFORE an event (e.g. while drinking w/ your friends before it)"
SITST12,Introductory,"suited for starting an event/gig/etc."
SITST13,Start,"suited to be played at the beginning of the event"
SITST14,BuildUp,"suited for increasing the energy on the dancefloor"
SITST15,PeakTime,"could be played to a dancing crowd full of energy, among the ones to hit them first with"
SITST16,Sustain,"could be played to a dancing crowd with high energy, but not the one hitting them first with"
SITST17,Release,"could be played to a dancing crowd that's getting tired, chilling them down before hitting them again"
SITST18,PartyBreak,"similar to release, but not as smooth energy decreaser, but more like a creative/drastic one"
SITST19,FinalPeak,"could be played as a set closer, with a final blast of energy"
SITST20,FinalOutro,"could be played as a set closer, but a slower, contemplative piece"
SITST21,AfterHours,"could be played to a tired and sleepy crowd, bringing energy to them to keep partying"
SITDS11,SlowDance,"suited for slow and intimate dancing with a partner"
SITDS12,HouseParty,"suited for on-and-off dancing in a house party"
SITDS13,PromDance,"suited for active dancing, but not too intense, and poppier sounding"
SITDS14,ClubDance,"suited for full-on active dancing, sitting down and chatting etc. is no longer a choice for the crowd"
SITDS15,Rave,"suited for intense dancing, only enjoyable to people who are 'in the scene'"
SITDS16,SceneParty,"suited for non-intense dancing in an event for a particular music, for people who are 'in the scene'"
SITDS17,Striding,"suited for striding in marching-like regular steps"
SITDS18,Nodding,"really makes you nod back-and-forth to the beat"
SITDS19,Headbanging,"really makes you bang your head up-and-down to the beat"
SITDS20,Pogo,"really makes you want to jump around"
SITDS21,Swaggering,"suited for going down the streets in front of people while being flashy"
SITGU11,Lounge,"suited for a waiting room, lift, etc."
SITGU12,WindowShopping,"suited for a shop setting in a mall, especially clothes shop"
SITGU13,Bar,"suited for a bar setting (alcohol, friends, strangers, stories, etc.)"
SITGU14,GirlsNightOut,"suited for spending a night out (in a bar/party/etc) with your GIRL friends"
SITGU15,GuysNightOut,"suited for spending a night out (in a bar/party/etc) with your GUY friends"
SITGU16,Beach,"suited for a beach setting (sun, sand, waves, swimming, etc.)"
SITGU17,PoolParty,"suited for a pool party (water, jumping, cocktails, etc.)"
SITGU18,Barbecue,"suited for a barbecue (social, cozy, vibrant, etc.)"
SITGU19,Picnic,"suited for a picnic (calm, vivid, natural, etc.)"
SITTW11,Autumnal,"gives autumn vibes"
SITTW12,Wintry,"gives winter vibes"
SITTW13,Springy,"gives spring vibes"
SITTW14,Summery,"gives summer vibes"
SITTW15,Sunny,"suited for / makes you think of a bright sunny day"
SITTW16,Rainy,"suited for / makes you think of rainy weather"
SITTW17,Stormy,"suited for / makes you think of stormy weather"
SITTW18,BadWeather,"suited for any bad weather, stay-in music"
SITTW19,Starry,"suited for / makes you think of a starry night"
SITTW20,EarlyMorning,"suited for / makes you think of an early morning"
SITTW21,UntilMorning,"suited for / makes you think of an all-nighter party session / event"
SITTW22,AllNighter,"suited for / makes you think of an all-nighter study/work session"
SITTW23,Sunrise,"suited for / makes you think of a sunrise"
SITTW24,Sunset,"suited for / makes you think of a sunset"
SITTW25,LateNight,"suited for / makes you think of late night"
SITTW26,DarkNight,"suited for / makes you think of dark night"
SITTW27,HazyNight,"suited for / makes you think of hazy night (when you might be drunk/ill/etc.)"
SITTW28,NeonNight,"suited for / makes you think of night with neon lights, that of rich city nightlife e.g."
SITTS11,DayDriving,"suited for / makes you think of driving during the day"
SITTS12,NightDriving,"suited for / makes you think of driving during the night"
SITTS13,Racin',"suited for / makes you think of racing in vehicles"
SITTS14,Cruisin',"suited for / makes you think of slow driving without any purpose, just for example the sake of relaxation"
SITTS15,Boomin',"suited for / makes you think of listening to cool music in your car using big speakers"
SITTS16,Roadtrip,"suited for / makes you think of driving big distances"
SITTS17,Travelling,"suited for / makes you think of travelling (between multiple destinations, longer duration)"
SITTS18,Vacation,"makes you think of a vacation, or you believe it would enhance a vacation 'Warm up' / the actual experience"
SITTS19,Walks,"suited for / makes you think of recreational walking"
SITTS20,Adventure,"suited for / makes you think of wandering into the unknown and coming out of your comfort zone"
SITTS21,Countryside,"suited for / makes you think of the countryside (rural, but still populated areas)"
SITTS22,Wilderness,"suited for / makes you think of the wilderness (remote nature)"
SITTS23,RemotePlaces,"suited for / makes you think of remote places"
SITEL11,Relaxation,"suited for active relaxation and achieving peace of mind (lengthy immersion)"
SITEL12,CoffeeBreak,"similar to 'relaxation', but it's a limited in time (a short breather in the middle of something)"
SITEL13,Weariness,"expresses similar vibes when you're tired and just lay still"
SITEL14,Laziness,"suited for being lazy and not doing anything productive"
SITEL15,Daydreaming,"suited for unimportant wandering about less important stuff, getting distracted from the more important stuff"
SITEL16,Focus,"suited for focusing on the task at hand"
SITEL17,Work,"suited for creating value, music that makes you concentrate and helps creative thinking"
SITEL18,Housework,"suited for boring and repetitive task such as housework"
SITEL19,Home,"suited for / makes you think of being at Home"
SITEL20,Exercise,"suited for athletic activities such as working out"
SITEL21,Skateboarding,"suited for skateboarding"
SITEL22,Suburbs,"makes you think of the suburbs"
SITEL23,BigCity,"makes you think of the inner city of a big city"
SITEL24,Ghetto,"makes you think of the Ghetto"
SITEL25,Industry,"makes you think of factories and industrial areas of a city"
SITEV11,Dining,"suited for / makes you think of dining"
SITEV12,Dinner,"suited for / makes you think of dinner"
SITEV13,Serenade,"a song (sung) for someone, expressing positive emotions towards them"
SITEV14,RomanticEvening,"suited for / makes you think of romantic evenings"
SITEV15,ClassyGathering,"suited for / makes you think of classy gatherings (high profile vibes)"
SITEV16,FriendGathering,"suited for / makes you think of friend gatherings (easy going vibes)"
SITEV17,FamilyGathering,"suited for / makes you think of family gatherings (cozy and familiar vibes)"
SITEV18,Goodbyes,"suited for / makes you think of farewells"
SITEV19,Memorial,"the song is a tribute to somebody who's passed or other form of appreciation"
SITEV20,Reunion,"suited for / makes you think of reuniting with someone"
SITEV21,Homecoming,"suited for / makes you think of going home after being away"
SITEV22,Wedding,"suited for / makes you think of weddings"
SITEV23,Anniversary,"suited for / makes you think of anniversaries"
SITEV24,Celebration,"suited for / makes you think of celebrations"
SITEV25,Halloween,"suited for / makes you think of Halloween"
SITEV26,Christmas,"suited for / makes you think of Christmas"
SITEV27,NewYear,"suited for / makes you think of New Year"
SITEV28,Hymn-like,"this piece is / could be a hymn of something"
FELLV11,Infatuation,"expresses/resembles the intense but maybe immature feeling of falling for someone"
FELLV12,Angst,"expresses/resembles the feelings of romantic frustration (no progress)"
FELLV13,Neglect,"expresses/resembles the feelings of not receiving attention from your love interest"
FELLV14,Rejection,"expresses/resembles the feelings of being rejected romantically"
FELLV15,UnrequitedLove,"expresses/resembles the feelings of 'love' towards someone, even though they've rejected you"
FELLV16,Romance,"expresses/resembles the feelings of requited romantic love"
FELLV17,Romantic,"not explicitly about romance, but musically suggestive of it (can be romantic background music e.g.)"
FELLV18,Sensual,"similar, but this one is mild and soothing and doesn't have to suggest romance, just positive feelings in general"
FELLV19,Passionate,"the opposite of sensual in energy: this expresses fiery romance"
FELLV20,Sexy,"expresses/resembles the feelings of lustful excitement IN YOU (subjective)"
FELLV21,Erotic,"explicitly contains lustful excitement (objective)"
FELLV22,Sexual,"explicitly contains sexual content"
FELLV23,Dirty,"explicitly contains sexual content, but in a vulgar fashion"
FELLV24,Seduction,"expresses/resembles the feelings and actions of wanting to seduce somebody"
FELLV25,Flirty,"expresses/resembles being flirtatious (not as intense and clear as 'seduction')"
FELLV26,Affection,"expresses/resembles the feelings of affectionate love (personal and deeper than physical attraction)"
FELLV27,PlatonicLove,"expresses/resembles the feelings of love without romance (e.g. for family, friends, etc.)"
FELLV28,ForbiddenLove,"expresses/resembles the feelings of love despite setbacks of other people, some situation, etc."
FELLV29,Separation,"expresses/resembles the feelings of being separated from your loved one(s)"
FELLV30,Heartbreak,"expresses/resembles the feelings of love related sorrow"
FELLV31,Fighting,"expresses/resembles the feelings of arguing and fighting with your (past) love interest"
FELLV32,BreakUp,"expresses/resembles the feelings of the end of a romantic relationship"
FEXCL11,Kindred,"feeling togetherness with a community"
FEXCL12,Intimacy,"feeling really close to somebody, without feeling vulnerability"
FEXCL13,Vulnerability,"the feeling of letting someone too close to you"
FEXCL14,Solitude,"being alone in a neutral/positive, blissful sense"
FEXCL15,Loneliness,"being alone in a negative sense"
FEXCL16,Grief,"the sorrow felt when you lose somebody (they pass away)"
FEXTH11,Jealousy,"negative feeling because sb has sth/sb that you want"
FEXTH12,Longing,"wanting sb/sth wholeheartedly, but it's not (yet) painful (no setbacks)"
FEXTH13,Yearning,"wishing for sb/sth that you cannot (easily) have - it can be painful"
FEXTH14,Hope,"believing in something despite difficulties (it can happen, and I believe it will happen)"
FEXTH15,Faith,"having trust in sb/sth, fully convinced (e.g.: she's going to do it, I know her)"
FEXTH16,Trust,"trusting sb in the sense of directly believing them"
FEXTH17,Gratefulness,"the feeling of being grateful to somebody or just general to God/life/etc."
FEXTH18,Disappointment,"when someone doesn't live up to your expectations, usually hurting you in the process"
FEXTH19,Delusion,"being unable to realise your false beliefs"
FEXTH20,Temptation,"when you're contemplating sth you know isn't moral"
FEXAC11,Injustice,"what you feel when you experience sth that's not fair"
FEXAC12,Blame,"when you think someone else should take responsibility for a wrong action"
FEXAC13,Revenge,"when you cause misfortune to sb because of their perceived wrongdoings towards you"
FEXAC14,Rage,"bursting in anger, in a visibly loud manner"
FEXAC15,Hatred,"acting unreasonable towards sb because of some prejudice / negative history"
FEXAC16,Cruelty,"acting unreasonable towards sb without apparent reason, just for enjoyment"
FEXAC17,Indifference,"not showing any apparent care towards somebody or some situation in a sombre tone"
FEXAC18,Nonchalance,"not caring about somebody or some situation in a confident tone"
FEXAC19,Forgiveness,"what you feel when you('re willing to) forgive sb"
FEXAC20,Honesty,"a feeling related to confession, telling the truth regardless, etc."
FEXAC21,Empathy,"sharing sb's negative feelings as if they were your own (compared to sympathy, which is just understanding them)"
FEXAC22,Compassion,"willingness to help someone in a bad situation"
FEXAC23,Generosity,"being mindful of the wellbeing of others, especially when it comes to providing"
FEXCP11,Humility,"when you downplay yourself so others don't perceive you as vain or feel jealousy towards you"
FEXCP12,Pride,"showing satisfaction because of your achievements"
FEXCP13,Vanity,"feeling overly confident that you're better than others in some way"
FEXCP14,Insecurity,"feeling less than others in a way and being nervous about it"
FEXCP15,Awkwardness,"discomfort felt in the presence of others, often because of acting different to what you think others expect"
FEIMD11,Mellow,"feeling warmed and relaxed, e.g. after drinking liqueur, spending time with your family, etc."
FEIMD12,Joy,"intensely expresses happiness"
FEIMD13,Sorrow,"intensely expresses sadness"
FEIMD14,Melancholy,"complex sadness, that's reflective in nature and indirect (unsure of cause(s)), and often persists"
FEIMD15,Depression,"intensely expresses depression (acclimatised prolonged sadness and inertia)"
FEIMD16,Nostalgia,"sentimentality (positive or ambivalent feelings) for the past, or more broadly just associations for memories"
FEIMD17,Wistfulness,"feeling of sadness because you are thinking about something that's in the past"
FEITP11,Burnout,"extreme tiredness, usually caused by working too much or some mental issue"
FEITP12,Resignation,"feelings associated with giving up and accepting a bad situation"
FEITP13,Regret,"feeling of sadness about a mistake that you have made, and a wish that it could've been different"
FEITP14,Guilt,"feeling of worry or unhappiness caused by having done something morally wrong"
FEITP15,Anger,"visible and intense frustration (not to be confused with 'Angst', this isn't love related)"
FEITP16,Agony,"intensely expresses pain"
FEITP17,Relief,"a feeling of happiness that something unpleasant has not happened or has ended"
FEIDR11,Indulgence,"allowing yourself to have something enjoyable that might not be good for you in excess"
FEIDR12,Greed,"a very strong wish to continuously get more of something, especially food or money"
FEIDR13,Curiosity,"hunger for knowledge"
FEIDR14,Confidence,"trusting your abilities and acting as you don't doubt success"
FEIDR15,Self-reliance,"when nobody can help you, or you just don't ask for help"
FEIDR16,Eagerness,"being happy and enthusiastic, up for anything fun"
FEIPC11,Naivety,"trusting people or things too easily without having experience or knowledge about them"
FEIPC12,Doubt,"a feeling of not being certain about something"
FEIPC13,Anxiety,"extensively prolonged fear which is often irrational and mentally destructive"
FEIPC14,Fear,"a feeling of being frightened or worried by something dangerous, painful, or otherwise bad"
FEIPC15,Awe,"a feeling of great respect sometimes mixed with fear or surprise"
